00451,"Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter",Not checked,Bicarbonate,mg/l,Total,,,,,
00452,"Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,Carbonate (CO3),mg/l,Dissolved,,,,,
00453,"Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,Bicarbonate,mg/l,Dissolved,,,,,
00480,"Salinity, water, unfiltered, parts per thousand",Not checked,Salinity,ppth,Total,,,,,
00495,"Moisture content, fraction of dry weight, percent",Not checked,Moisture content,%,,,,,Dry,
00500,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Not checked,Total solids,mg/l,Total,105 deg C,,,,
00505,"Loss on ignition of total solids, water, unfiltered, milligrams per liter",Not checked,Total volatile solids,mg/l,Total,,,,,
00510,"Total solids remaining after ignition, water, unfiltered, milligrams per liter",Not checked,Total fixed solids,mg/l,Total,,,,,
00515,"Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter",Not checked,Total dissolved solids,mg/l,Dissolved,105 deg C,,,,
00520,"Loss on ignition of dissolved solids, water, filtered, milligrams per liter",Not checked,Volatile dissolved solids,mg/l,Dissolved,,,,,
00525,"Dissolved solids remaining after ignition, water, filtered, milligrams per liter",Not checked,Fixed dissolved solids,mg/l,Dissolved,,,,,
00530,"Suspended solids, water, unfiltered, milligrams per liter",Not checked,Total suspended solids,mg/l,Non-filterable,,,,,
00535,"Loss on ignition of suspended solids, water, unfiltered, milligrams per liter",Not checked,Volatile Suspended Solids,mg/l,Non-filterable,,,,,
00540,"Suspended solids remaining after ignition, water, unfiltered, milligrams per liter",Not checked,Fixed suspended solids,mg/l,,,,,,
00545,"Settleable solids, water, unfiltered, milligrams per liter",Not checked,Settleable solids,mg/l,Settleable,,,,,
00550,"Oil and grease, water, unfiltered, recoverable, milligrams per liter",Not checked,Oil and grease -- CWA 304B,mg/l,Recoverable,,,,,
00551,"Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter",Not checked,"Hydrocarbons, petroleum",mg/l,Recoverable,,,,,
00552,"Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter",Not checked,Oil and grease -- CWA 304B,mg/l,Recoverable,,,,,
00553,"Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram",Not checked,Oil and grease -- CWA 304B,mg/kg,Bed Sediment,,,,Dry,
00556,"Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter",Not checked,Oil and grease -- CWA 304B,mg/l,Recoverable,,,,,
00557,"Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram",Not checked,Oil and grease -- CWA 304B,mg/kg,Bed Sediment,,,,Dry,
